,flatterrain,stepterrain,high_friction,low_friction
MPC,0.06179518726696951,0.019994991909051595,0.22535136509358608,0.17601177506024704
CAMPC,0.21489928643240713,0.03939467749839705,0.09136510981230496,0.1427365404966156
Estimation,0.007894093119608233,0.014230500557809923,0.01281717712640561,0.016581905000686882
