,flatterrain,stepterrain,high_friction,low_friction
MPC,1.1639727371766685e-06,0.879322210910472,0.002616595201518667,0.0026208359444859653
CAMPC,3.6049656128900906e-05,0.022032469493410853,0.0005582886496960373,0.0011292498669130844
