,flatterrain,stepterrain,high_friction,low_friction
MPC,1.047937484602052e-06,0.8965199572452638,0.015683659294803982,0.015371526552927449
CAMPC,4.815572371263796e-05,0.04212890996770684,0.012186442382938797,0.012300760926650502
