,flatterrain,stepterrain,high_friction,low_friction
MPC,7.47103669596072e-06,0.1395046210139652,1.584106368834881e-05,1.1536776918674718e-05
CAMPC,3.4337036414200384e-05,0.0452041677629218,4.9681451356420325e-05,5.654785776876281e-05
